Ville,prixMoyenProduits,fraisMoyen
sao ludgero,224.43999999999997,24.396666666666665
ponta pora,224.36166666666662,34.09166666666667
araruama,223.36610389610388,25.933246753246756
alta floresta d'oeste,223.29666666666665,45.20333333333334
primavera do leste,222.60035714285712,30.717857142857145
simoes filho,222.4514285714286,26.266190476190477
angra dos reis,222.2710588235294,32.4904705882353
monte belo,221.956,46.104
posse,221.890625,27.279374999999998
urania,221.43,23.6425
garrafao do norte,220.96333333333334,33.03666666666667
bonfinopolis,220.935,35.365
limeira do oeste,220.85,30.365000000000002
uniao do sul,220.7,28.5
petrolina,220.19999999999993,40.55338461538462
pequizeiro,219.99,33.99
rio tinto,219.95,25.175
mombaca,219.9,28.08
sao luiz gonzaga,219.86733333333333,47.38066666666667
coronel murta,219.8,36.04
guarei,219.658,17.83
morada nova de minas,219.63,23.826666666666664
carpina,219.47600000000003,40.547000000000004
puxinana,219.0,52.03
laje do muriae,219.0,16.28
navegantes,218.81193548387097,23.150967741935485
dobrada,218.75,35.7
prado,218.158,28.76
lencois,218.0,89.68
gurupi,217.88708333333332,40.120416666666664
itirucu,217.76,64.03
quissama,217.51230769230767,37.04307692307692
barbalha,217.16333333333333,35.405
alto araguaia,217.14600000000002,28.48
tapiratiba,216.76833333333335,19.505
abreu e lima,216.08636363636367,44.99727272727273
conservatoria,216.0225,33.269999999999996
pindoba,216.0,55.26
cambira,216.0,43.675
porto uniao,215.975,21.84142857142857
arcos,215.66920000000002,23.9052
bocaina,215.25714285714284,30.34857142857143
ituporanga,215.01066666666668,23.67266666666666
progresso,215.0,27.59
kalore,214.995,66.985
nova russas,214.99142857142857,48.15571428571429
montauri,214.945,42.265
carolina,214.89999999999998,35.445
arembepe,214.85,32.18
entre rios de minas,214.83714285714288,29.39428571428571
maracaju,214.76615384615386,55.32692307692308
carmo de minas,214.65333333333334,18.523333333333337
toritama,214.558,41.04
fundao,214.536,21.054
aquiraz,214.495,24.83
nova palma,214.45,18.86
serrita,214.45,27.41
panambi,214.17588235294116,24.59764705882353
bodoquena,214.0,33.765
guamiranga,214.0,70.89
nova lima,213.89846938775506,23.732551020408163
parati,213.8230769230769,23.76076923076923
esperantinopolis,213.53666666666666,43.599999999999994
itamarandiba,213.37375,41.160000000000004
santana do livramento,212.4115,33.153499999999994
telha,212.4,17.25
barreiras,212.38326923076923,36.57365384615384
porto real,212.08571428571426,23.045714285714286
macapa,212.07259259259257,41.002037037037034
quixada,211.96692307692305,45.76076923076924
iaciara,211.7475,62.83
sao miguel,211.715,39.415000000000006
cruz,211.51142857142855,41.71
castelo do piaui,211.3,77.535
aguai,211.148,39.846999999999994
doutor camargo,211.05,19.58
taquara,210.83523809523808,25.112857142857138
camocim,210.78625,48.9975
realeza,210.71,24.75
catas altas,210.57,21.5
pacajus,210.43166666666664,42.901666666666664
barra do bugres,210.0625,25.85
gravatal,210.045,26.334999999999997
terra nova,209.99,57.94
gramado dos loureiros,209.99,27.55
santo expedito do sul,209.99,27.55
morro redondo,209.9,23.76
itariri,209.88666666666668,19.901666666666667
imbe,209.8423076923077,29.055384615384618
cururupu,209.75333333333333,41.803333333333335
iati,209.66333333333333,59.416666666666664
balsamo,209.53833333333333,21.041666666666668
joao pessoa,209.31027559055113,39.000393700787406
milagres,209.135,44.9475
morro reuter,209.11333333333334,38.02
caraiba,208.445,35.13
boa esperanca,208.31949999999998,31.141999999999996
baianopolis,208.15,38.49
nova laranjeiras,208.1,43.49
sao joaquim de bicas,207.91,37.77875
areado,207.78166666666667,18.976666666666663
antonina,207.757,20.782999999999998
alto santo,207.63,59.373333333333335
martinho campos,207.6,29.25
bandeira do sul,207.45,25.7
irai de minas,207.445,61.025000000000006
juazeiro do norte,206.90529411764706,45.626176470588234
frei lagonegro,206.74,53.6
altamira,206.726,49.2676
taiobeiras,206.51615384615386,32.237692307692306
nova hartz,206.29333333333332,45.446666666666665
mario campos,206.21333333333334,24.08666666666667
santa maria da boa vista,206.04,38.245000000000005
nova vicosa,205.99,65.02
cerqueira cesar,205.64,19.866666666666667
ananindeua,205.40045454545452,35.92738636363636
serra talhada,205.31799999999998,57.277
almenara,205.15357142857144,24.298571428571424
jucurucu,204.99,34.165
senador guiomard,204.99,68.555
santa cruz do capibaribe,204.98999999999998,57.25538461538462
aurea,204.75,21.0
itaguacu,204.5466666666667,27.35222222222222
mondai,204.5,24.655
narandiba,204.48999999999998,13.84
portalegre,204.4,52.105000000000004
acu,204.36,45.50333333333333
santa rita,203.94374999999997,38.58
japuiba,203.51600000000002,42.653999999999996
cunha,203.22285714285712,19.491428571428575
pontalina,202.5,41.86
sao paulo das missoes,202.435,27.195
guaratuba,202.4311111111111,21.714444444444446
lagoinha,201.99333333333334,20.916666666666668
werneck,201.945,20.86
mirassol,201.75482758620694,18.36
nova brasilandia d'oeste,201.39999999999998,34.67
araguari,201.28740740740741,21.841111111111108
porto velho,201.27091743119266,38.379724770642206
ji-parana,200.70823529411766,60.18176470588235
candiota,200.675,24.225
nossa senhora do o,200.5,28.095
barra de santa rosa,200.2,35.96
