Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,nbVendeurs,latitudeVille,longitudeVille,Etat,nbVendeursParCommande
sao jose,169,121.13369047619041,23.791488095238098,3.764705882352941,5,-22.493329751103225,-54.46305520752318,Mato Grosso do Sul,0.029585798816568046
sao jose,169,121.13369047619041,23.791488095238098,3.764705882352941,5,-27.583656699369293,-48.62806596974896,Santa Catarina,0.029585798816568046
embu das artes,165,126.38853658536577,15.359268292682925,4.066666666666666,2,-23.654184104143738,-46.82259825455928,São Paulo,0.012121212121212121
sao vicente,165,129.52715151515147,16.65351515151515,4.096385542168675,1,-23.96499808789871,-46.3936030252835,São Paulo,0.006060606060606061
sao vicente,165,129.52715151515147,16.65351515151515,4.096385542168675,1,-19.326087908973193,-43.93377311015729,Minas Gerais,0.006060606060606061
sao vicente,165,129.52715151515147,16.65351515151515,4.096385542168675,1,-6.217486596738015,-36.68279880249036,Rio Grande do Norte,0.006060606060606061
presidente prudente,161,163.72581249999993,23.226,4.171779141104294,12,-22.12149166684966,-51.40467191881969,São Paulo,0.07453416149068323
franca,161,141.15553459119488,21.142075471698114,4.074534161490683,20,-20.534056764659475,-47.39843655679908,São Paulo,0.12422360248447205
atibaia,159,133.20515923566873,18.30063694267516,4.2075471698113205,11,-23.1231345192445,-46.56048198733121,São Paulo,0.06918238993710692
rio claro,157,132.2939354838709,19.912838709677416,4.382165605095541,12,-22.733444663843,-44.13219774952545,Rio de Janeiro,0.07643312101910828
rio claro,157,132.2939354838709,19.912838709677416,4.382165605095541,12,-22.405387854048307,-47.56608729920483,São Paulo,0.07643312101910828
araraquara,155,132.15629870129862,18.504415584415586,4.361290322580645,11,-21.782712943567883,-48.17171498477067,São Paulo,0.07096774193548387
cascavel,153,161.6423529411764,27.275032679738562,4.091503267973856,14,-4.141297936156377,-38.230176252327055,Ceará,0.0915032679738562
cascavel,153,161.6423529411764,27.275032679738562,4.091503267973856,14,-24.955956150696842,-53.46087017667778,Paraná,0.0915032679738562
nova friburgo,152,186.83259999999996,23.734600000000007,3.6474358974358974,5,-22.279974771040884,-42.526645400648526,Rio de Janeiro,0.03289473684210526
braganca paulista,146,139.77513888888885,17.74729166666667,4.226027397260274,5,-22.94842035356781,-46.54131547902729,São Paulo,0.03424657534246575
hortolandia,145,113.95317241379304,15.347310344827584,3.806896551724138,2,-22.883727627300885,-47.204836448505475,São Paulo,0.013793103448275862
ponta grossa,143,133.2632394366197,22.738732394366203,4.391608391608392,6,-25.093201294628834,-50.1570545540559,Paraná,0.04195804195804196
aracatuba,141,120.3855395683453,19.593453237410074,4.127659574468085,4,-21.20555581760857,-50.44319371467775,São Paulo,0.028368794326241134
governador valadares,141,141.43201438848914,25.363741007194243,4.205673758865248,1,-18.86417772604703,-41.95358966495241,Minas Gerais,0.0070921985815602835
manaus,140,148.5795683453237,36.98201438848922,4.198581560283688,1,-3.0795783434247923,-60.00710744674126,Amazonas,0.007142857142857143
