nbPaiements,montant,nbPaiementPrediction,id
2.0,115.05,3.269029152325298,379
3.0,32.33,2.8340790202700634,380
2.0,322.19,4.358192236874637,381
4.0,211.26,3.7749110696975676,382
1.0,94.15,3.159134837045385,383
3.0,242.24,3.9378070451698983,384
5.0,65.53,3.0086479804276287,385
1.0,52.59,2.9406081507758546,386
6.0,508.18,5.336146480841672,387
1.0,16.95,2.75320942366695,388
4.0,194.85,3.6886256288486026,389
10.0,135.51,3.3766099030730024,390
2.0,91.19,3.143570857465072,391
7.0,73.74,3.0518169913581588,392
6.0,203.3,3.7330565840694288,393
2.0,55.24,2.9545421189812022,394
10.0,406.92,4.803711152361098,395
1.0,115.45,3.271132392809124,396
10.0,546.45,5.537374014131734,397
2.0,78.94,3.079159117647898,398
5.0,120.93,3.2999467874375417,399
1.0,35.96,2.853165927660785,400
1.0,32.47,2.8348151544394025,401
1.0,104.73,3.214765547842585,402
1.0,55.09,2.9537534037997677,403
10.0,721.63,6.458488184023368,404
8.0,479.96,5.187762864707741,405
1.0,55.06,2.953595660763481,406
1.0,155.73,3.482928709530411,407
2.0,29.08,2.8169901913389763,408
2.0,67.77,3.0204261271370547,409
1.0,93.28,3.1545602889930633,410
10.0,838.32,7.072056014167534,411
4.0,169.87,3.5572782606336633,412
3.0,134.63,3.3719827740085853,413
5.0,712.29,6.4093775187260285,414
1.0,504.32,5.3158502101727505,415
6.0,122.56,3.3085174924091327,416
5.0,155.73,3.482928709530411,417
1.0,105.28,3.217657503507846,418
3.0,121.68,3.3038903633447156,419
1.0,40.01,2.874461237559524,420
1.0,72.53,3.045454688894585,421
6.0,72.38,3.0446659737131503,422
3.0,111.3,3.2493112727894284,423
3.0,289.04,4.183886181777551,424
1.0,183.02,3.6264222915394457,425
3.0,43.1,2.8907087702970804,426
2.0,139.61,3.3981681180322196,427
3.0,188.69,3.6562357253976807,428
3.0,99.7,3.188317298758472,429
3.0,133.76,3.367408225956263,430
4.0,276.07,4.1156886090894895,431
6.0,109.27,3.238637327334011,432
2.0,96.26,3.170229430597568,433
2.0,27.77,2.8101020787544457,434
4.0,83.56,3.1034515452360893,435
5.0,90.24,3.138575661315985,436
3.0,97.72,3.177906258363533,437
10.0,459.01,5.077605644367351,438
2.0,140.22,3.4013755597700546,439
1.0,46.84,2.9103740688208544,440
1.0,357.75,4.545170315886777,441
3.0,167.45,3.5445536557065154,442
1.0,39.09,2.8696237844467243,443
10.0,372.08,4.620518906219846,444
1.0,139.02,3.395065838318576,445
2.0,212.66,3.782272411390959,446
1.0,23.28,2.786493204323498,447
1.0,77.57,3.0719555189907934,448
2.0,82.12,3.0958798794943156,449
7.0,104.52,3.213661346588576,450
1.0,75.07,3.0588102659668808,451
2.0,88.9,3.1315298056951675,452
10.0,842.14,7.092141960788072,453
2.0,52.01,2.9375584520743065,454
3.0,32.23,2.8335532101491068,455
8.0,179.04,3.605495048725376,456
3.0,102.03,3.200568674576759,457
2.0,218.13,3.8110342250072806,458
4.0,77.85,3.073427787329472,459
8.0,243.76,3.9457993590084373,460
1.0,85.55,3.113915166643124,461
1.0,89.91,3.1368404879168286,462
1.0,24.38,2.7922771156540196,463
1.0,126.68,3.3301808693925414,464
10.0,117.94,3.2842250648209417,465
3.0,94.3,3.15992355222682,466
1.0,71.29,3.038934643394724,467
9.0,91.26,3.1439389245497416,468
1.0,86.15,3.117070027368863,469
5.0,68.31,3.02326550179022,470
3.0,57.23,2.965005740388237,471
1.0,122.17,3.3064668329374025,472
10.0,335.29,4.427073362719941,473
3.0,66.01,3.0111718690082196,474
3.0,238.78,3.9196140149848024,475
3.0,113.05,3.2585129499061676,476
8.0,259.56,4.028877358119567,477
8.0,223.76,3.8406373348171328,478
13.0,131.46,3.3553145931742634,479
4.0,54.77,2.9520708114127068,480
3.0,32.52,2.835078059499881,481
1.0,226.11,3.852993872659611,482
2.0,126.64,3.329970545344159,483
7.0,1250.81,9.24097018210109,484
4.0,207.86,3.757033525585046,485
7.0,124.96,3.321136935312089,486
2.0,176.15,3.5902991362297327,487
1.0,191.23,3.6695913024699762,488
1.0,69.24,3.0281555359151153,489
2.0,114.91,3.268293018155959,490
5.0,56.69,2.962166365735072,491
5.0,63.79,2.999498884322985,492
1.0,63.27,2.9967646716940113,493
1.0,95.3,3.165181653436385,494
1.0,134.59,3.3717724499602024,495
1.0,107.05,3.226964342648776,496
3.0,200.64,3.7190700348519847,497
8.0,117.16,3.280123745877481,498
3.0,86.15,3.117070027368863,499
10.0,394.77,4.73982522266488,500
1.0,36.84,2.8577930567252023,501
1.0,24.38,2.7922771156540196,502
3.0,142.09,3.4112082090319413,503
10.0,280.0,4.136352946843081,504
6.0,125.53,3.3241340530015417,505
1.0,646.6,6.06397285026969,506
1.0,84.14,3.106501243937637,507
1.0,56.2,2.959589896142385,508
1.0,69.9,3.0316258827134286,509
4.0,218.64,3.813715856624159,510
1.0,64.17,3.00149696278262,511
3.0,157.45,3.4919726436108633,512
4.0,82.28,3.096721175687846,513
3.0,139.13,3.3956442294516282,514
2.0,36.77,2.857424989640533,515
4.0,157.79,3.4937603980221157,516
2.0,54.33,2.9497572468804982,517
3.0,52.78,2.941607190005672,518
4.0,87.5,3.124168464001776,519
8.0,259.78,4.030034140385672,520
3.0,80.34,3.0865204593412896,521
1.0,43.0,2.890182960176124,522
1.0,50.46,2.9294083951994807,523
2.0,196.02,3.694777607263794,524
2.0,117.77,3.2833311876153153,525
8.0,235.71,3.9034716442714372,526
2.0,114.53,3.266294939696324,527
1.0,81.72,3.0937766390104895,528
3.0,175.27,3.5856720071653156,529
10.0,194.01,3.6842088238325674,530
10.0,1738.17,11.803558387594794,531
1.0,33.95,2.842597144229559,532
1.0,26.18,2.801741697831237,533
3.0,67.87,3.020951937258011,534
10.0,216.4,3.801937709914733,535
2.0,34.27,2.84427973661662,536
2.0,46.54,2.908796638457985,537
3.0,126.45,3.3289715061143417,538
3.0,72.67,3.0461908230639243,539
8.0,82.59,3.098351187062811,540
3.0,65.54,3.008700561439724,541
1.0,199.76,3.7144429057875676,542
3.0,80.32,3.086415297317098,543
2.0,107.81,3.230960499568046,544
