geolocation_city,latitudeVille,longitudeVille,Etat
alto rio doce,-21.02315919884419,-43.41263491879728,Minas Gerais
alto rio novo,-19.05822235499108,-41.01879814974317,Espírito Santo
alto santo,-5.519712483344855,-38.26737385532683,Ceará
alto taquari,-17.831339487997216,-53.28242914765828,Mato Grosso
altonia,-23.872348860666264,-53.893500973158545,Paraná
altos,-5.037933605097156,-42.45957464672137,Piauí
altônia,-23.87124983203738,-53.89421948191454,Paraná
aluminio,-23.524098716525263,-47.256676322001155,São Paulo
alumínio,-23.52123662207714,-47.255904987131935,São Paulo
alvacao,-16.408132897676698,-44.21771746392958,Minas Gerais
alvaraes,-3.2110188563874753,-64.80427013726734,Amazonas
alvarenga,-19.417557882438125,-41.72756415518321,Minas Gerais
alvares florence,-20.32086634900235,-49.909107783225615,São Paulo
alvares machado,-22.076304146049957,-51.46671946199017,São Paulo
alvaro de carvalho,-22.083206931312755,-49.7176412466633,São Paulo
alvinlandia,-22.441974732310864,-49.76450313583045,São Paulo
alvinlândia,-22.442313053006316,-49.76294021458492,São Paulo
alvinopolis,-20.11150606065765,-43.066597730401426,Minas Gerais
alvinópolis,-20.098402153790886,-43.04737640845585,Minas Gerais
alvorada,-19.88896729373426,-45.14923651880442,Minas Gerais
alvorada,-12.478669410006965,-49.12290484577028,Tocantins
alvorada,-30.008429725047428,-51.06694091984411,Rio Grande do Sul
alvorada d'oeste,-11.35023142656732,-62.28751193399715,Rondônia
alvorada de minas,-18.73744917819915,-43.37349462270952,Minas Gerais
alvorada do gurgueia,-8.451118499999952,-43.92315624999995,Piauí
alvorada do gurguéia,-8.455556999999946,-43.978332499999965,Piauí
alvorada do norte,-14.48533914978525,-46.50622379776432,Goiás
alvorada do oeste,-11.33501778449655,-62.276737115089645,Rondônia
alvorada do sul,-22.77924534758796,-51.229786835378604,Paraná
além paraíba,-21.873710577518857,-42.69373494440711,Minas Gerais
amambai,-23.090817384851363,-55.22809370379079,Mato Grosso do Sul
amambaí,-23.09837127221937,-55.225773365487875,Mato Grosso do Sul
amanari,-3.504514941264218,-39.57289793990247,Ceará
amandina,-22.385330182396338,-53.594664287294876,Mato Grosso do Sul
amanhece,-18.53401304549487,-48.19629512032545,Minas Gerais
amapa,2.0537900112566634,-50.792152054234904,Amapá
amapa do maranhao,-1.6732576653020135,-46.01030262739159,Maranhão
amapari,0.7771879222276791,-51.955832230238556,Amapá
amapora,-23.095387898319984,-52.786050657616805,Paraná
amaporã,-23.092848111298878,-52.79049991664669,Paraná
amapá do maranhão,-1.6747728410811775,-46.01120050486437,Maranhão
amaraji,-8.376909914843818,-35.45189171440257,Pernambuco
amaral ferrador,-30.874238817770845,-52.253193029298465,Rio Grande do Sul
amaralina,-13.902455161044607,-49.40402650998531,Goiás
amarante,-6.242804734400219,-42.85353104106899,Piauí
amarante do maranhao,-5.550368892779593,-46.71919417707302,Maranhão
amarantina,-20.31150115053566,-43.69816552900801,Minas Gerais
amargosa,-13.027915958035505,-39.601691042196734,Bahia
amatura,-3.366347571444517,-68.19808226751044,Amazonas
amaturá,-3.360578634395564,-68.19734060856122,Amazonas
amelia rodrigues,-12.399008114779287,-38.75668208849201,Bahia
america dourada,-11.45534706517941,-41.45792194795551,Bahia
americana,-22.737256111041685,-47.32369935794698,São Paulo
americano,-1.3043903244378463,-48.049921574413105,Pará
americano do brasil,-16.25358822328803,-49.98156896584807,Goiás
americo brasiliense,-21.73283329963874,-48.10993077579758,São Paulo
americo de campos,-20.299632573742656,-49.73238197918518,São Paulo
ametista do sul,-27.36584670498762,-53.17863649948286,Rio Grande do Sul
amontada,-3.3654681773745936,-39.83000034505478,Ceará
amorinopolis,-16.620679529424258,-51.09556960647198,Goiás
amorinópolis,-16.615396337069903,-51.09695599941002,Goiás
amparo,-22.70833483283636,-46.779826996089206,São Paulo
amparo,-7.567200620856406,-37.06092390413923,Paraïba
amparo da serra,-20.50873879690439,-42.800915905257945,Minas Gerais
amparo de sao francisco,-10.129935198619389,-36.926615680686055,Sergipe
ampere,-25.919482425429972,-53.47426387071247,Paraná
ampére,-25.92232845947279,-53.47487003092399,Paraná
amélia rodrigues,-12.409339492924593,-38.74574885622104,Bahia
