geolocation_city,latitude,longitude
aragarças,-15.910251232014682,-52.2317752767676
aragoiania,-16.911957011140167,-49.45104782108625
aragoiânia,-16.909374345034593,-49.44393742945677
aragominas,-7.168983860362198,-48.530337572030724
araguacema,-8.814714973312014,-49.55656341353356
araguacu,-12.928384840808661,-49.82619728689436
araguaia,-20.41550908384522,-40.64411836054274
araguaiana,-15.724665873318244,-51.8348328064225
araguaina,-7.194145689018867,-48.208708988639856
araguainha,-16.85899279055871,-53.03423527198579
araguana,-5.630770130131535,-47.72602269161831
araguanã,-6.581948699262933,-48.6440438846919
araguapaz,-15.098425662944779,-50.617515281317765
araguari,-18.647788194887667,-48.19413419921392
araguatins,-5.65028066388492,-48.121283746880216
araguaçu,-12.920932161487837,-49.82756013509299
araguaína,-7.191999417749098,-48.20998813909488
araioses,-2.8850541819643802,-41.904381270947184
araióses,-2.8896796267859806,-41.90376547482041
aral moreira,-22.95339780504423,-55.61759557539436
aramari,-12.091330630741258,-38.5003316145126
arambare,-30.912908274454868,-51.501951864682084
arambaré,-30.90775151602076,-51.49942584341603
arame,-4.889731449292038,-46.00677976876072
aramina,-20.092201099659754,-47.79068484733616
arandu,-23.136564843736075,-49.05444039853914
arantina,-21.915158982753184,-44.25360039856992
arapei,-22.673499500042812,-44.446494992228956
arapeí,-22.67445085107651,-44.446757241728356
arapiraca,-9.750889477285309,-36.65688381187583
arapoema,-7.656670780626436,-49.064301526605604
araponga,-20.6671706287898,-42.52110705532633
arapongas,-23.40888332472148,-51.43476316842283
arapora,-18.433559230520938,-49.185135872365834
araporã,-18.432791642142238,-49.18663962139803
arapoti,-24.14259751030084,-49.822367226600484
arapua,-19.915611651682244,-47.59828151341937
araputanga,-15.469445339648816,-58.34773170554175
arapuá,-19.036174854554112,-46.153894350819144
arapuã,-24.305853985864562,-51.786719040442584
araquari,-26.407378348238257,-48.758112726410026
arara,-6.827717635503339,-35.76039334973399
ararangua,-28.943097323601716,-49.48451950931831
araranguá,-28.94181378447441,-49.48200911732147
araraquara,-21.782712943567883,-48.17171498477067
araras,-22.357745988322254,-47.37554553542299
ararenda,-4.755502730423517,-40.81594208154287
ararendá,-4.752986272735911,-40.83065274022709
arari,-3.450955216573817,-44.778441915102725
ararica,-29.618288660988323,-50.92931227724572
araricá,-29.62421667965923,-50.92472848375898
araripe,-7.198190230663674,-40.14111802108165
araripina,-7.5776786858143685,-40.501362066517
araruama,-22.869309765672,-42.32125599263828
araruna,-22.048914367370756,-50.68904213237051
arataca,-15.261549087667623,-39.4167152306624
aratiba,-27.393878979446512,-52.300792088379524
aratuba,-4.419358212248046,-39.04633611936836
aratuipe,-13.074654354755138,-38.99632024881133
aratuípe,-13.069350503117775,-38.98836308898652
araua,-11.26448798023103,-37.620383981953616
araucaria,-25.58142150899515,-49.38809273708958
araucária,-25.581104277261897,-49.3882723375224
araujos,-19.944579227568433,-45.1666509178228
arauá,-11.265128131483383,-37.616756457901104
araxa,-19.592272553654016,-46.93908706424618
araxá,-19.591346944161476,-46.93912509869802
araçagi,-6.850405070147517,-35.37576025357081
araçariguama,-23.435052478132754,-47.066810945236014
araçatuba,-21.204529659652486,-50.443234271485444
araçaí,-19.199484332305058,-44.24675452107722
araçoiaba,-7.790290354442398,-35.09134850015013
araçoiaba da serra,-23.51655647819947,-47.61146966015303
araçu,-16.353879052519602,-49.685644908469484
araçuaí,-16.938596295922423,-42.13523484292538
araçás,-12.211149119713477,-38.202527893293464
araújos,-19.94455332571384,-45.16498298249607
arceburgo,-21.364132750962657,-46.93989548487439
arco verde,-29.35027093898587,-51.54791183893818
arco-iris,-21.773506095170134,-50.46472672496848
arcos,-20.28830151372826,-45.54130069344622
arcoverde,-8.418945170759914,-37.05936248444646
areado,-21.358712062618178,-46.144966597970395
areal,-22.24370799929241,-43.098549171599785
arealva,-22.029501455757217,-48.913566732203144
areia,-6.96672904710812,-35.70250563207211
areia branca,-5.3804867945217625,-37.14143838203796
areia branca dos assis,-7.421960084257878,-39.350876514145014
areia de baraunas,-7.12397776931988,-36.94639315542039
areial,-7.048617955582523,-35.92421174107332
areias,-22.58228728902745,-44.69615578487731
areiopolis,-22.67413888535585,-48.66639441224437
areiópolis,-22.672084388136987,-48.66423035343017
arembepe,-12.7621161537852,-38.18152285695949
arenapolis,-14.459992121241395,-56.84286127903487
arenopolis,-16.385489638361854,-51.55956684307419
arenápolis,-14.460796953576505,-56.84148749881078
arez,-6.198808041095981,-35.16435580993192
argirita,-21.613990095260654,-42.837217463303226
aricanduva,-17.868015877622902,-42.55610880382182
arinos,-15.920350682439091,-46.10773503284157
aripuana,-10.185682868565962,-59.46188003858033
aripuanã,-10.183186386436542,-59.45683982655064
ariquemes,-9.910527745214486,-63.03555499768101
ariranha,-21.18958834061664,-48.787717587007684
ariranha do ivai,-24.383058743843282,-51.58204772189657
ariranha do ivaí,-24.386950321234238,-51.58886947716671
armacao de buzios,-22.770156248566526,-41.9125605246326
armacao dos buzios,-22.766485578583268,-41.90944761043474
armazem,-28.259708667735325,-49.01849908041336
armazém,-28.260060126279694,-49.01394199870498
armação dos búzios,-22.765811275619587,-41.90369811661507
arneiroz,-6.325943690618894,-40.15613983579525
aroazes,-6.105346329212214,-41.78832315437302
aroeiras,-7.5462478078952335,-35.70730669344225
arraial,-6.652049127378291,-42.532280999433056
arraial d ajuda,-16.49087155319871,-39.082955365333895
arraial d'ajuda,-16.385873646040263,-39.29731978307631
arraial do cabo,-22.96354628987303,-42.05072170618841
arraias,-12.920699519644872,-46.95008122252023
arroio do meio,-29.394875869959993,-51.94517116513302
arroio do padre,-31.441525370787435,-52.41824426181239
arroio do sal,-29.540942398695503,-49.88526690603354
arroio do tigre,-29.333450448380372,-52.995051771964
arroio dos ratos,-30.08992066214609,-51.73152450330508
arroio grande,-32.23566062512627,-53.07885128177003
arroio trinta,-26.92851130780666,-51.335122525174846
arrozal,-22.594589669312334,-44.0307961050585
artur nogueira,-22.57120786162832,-47.1657687687331
aruana,-14.928390298848775,-51.07959158820119
aruanã,-14.912951003742661,-51.07936641854001
aruja,-23.4007455367667,-46.32283993145812
arujá,-23.400838999619516,-46.320127564242725
arvoredo,-27.078409010542018,-52.45510633727941
arvorezinha,-28.871905438293474,-52.180111441190874
