Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,Etat,nbVendeurs,latitudeVille,longitudeVille
novo hamburgo,123,162.68098360655733,25.288852459016393,4.016129032258065,Rio Grande do Sul,6,-29.690185125405044,-51.12251257508262
barra mansa,123,166.0079338842975,24.428429752066116,3.845528455284553,Rio de Janeiro,4,-22.541153347532756,-44.171692237731015
pocos de caldas,122,144.4567226890756,23.745210084033616,3.9672131147540983,Minas Gerais,5,-21.797117923016827,-46.564244268316585
cachoeiro de itapemirim,122,131.17049586776858,27.270991735537198,3.879032258064516,Espírito Santo,4,-20.846480708091182,-41.126185329481075
teresopolis,120,143.82596638655457,26.479579831932778,3.941666666666667,Rio de Janeiro,2,-22.416165206008674,-42.96601614632327
itajai,120,161.2380833333333,23.15333333333334,4.0,São Paulo,2,-26.908681805460116,-48.681899966116546
itajai,120,161.2380833333333,23.15333333333334,4.0,Santa Catarina,8,-26.908681805460116,-48.681899966116546
santa barbara d'oeste,119,110.78033898305087,16.169915254237285,4.352941176470588,São Paulo,4,-22.749004398277716,-47.39436424870086
cabo frio,117,148.12646551724137,24.961637931034485,3.606837606837607,"","",-22.854990833265287,-42.026170513761414
resende,117,115.7713675213675,25.22623931623932,3.8632478632478633,Rio de Janeiro,1,-22.47122312075811,-44.46082035290081
anapolis,113,153.3908928571428,26.051160714285714,4.079646017699115,Goiás,3,-16.32642881460754,-48.948840165919
porto velho,113,201.27091743119266,38.379724770642206,3.9911504424778763,Rondônia,1,-8.772896534903744,-63.898605375630005
passo fundo,113,134.71867256637165,26.02353982300885,4.176991150442478,"","",-28.263963126028308,-52.454514140431755
gravatai,112,170.62517857142853,23.297678571428577,4.169642857142857,"","",-29.932412057713993,-51.01846072142388
mage,111,145.82567567567563,23.20630630630631,4.0,Rio de Janeiro,1,-22.638046174252487,-43.12607126337052
belford roxo,111,125.52207207207205,23.597927927927934,3.5982142857142856,Rio de Janeiro,2,-22.73723765866894,-43.38429246281137
ferraz de vasconcelos,111,142.05657657657656,16.824324324324323,4.243243243243243,São Paulo,3,-23.54129618306675,-46.37365761171487
aparecida de goiania,110,132.3132727272727,22.161636363636365,4.027272727272727,Goiás,1,-16.777094163599212,-49.27556867811581
palmas,110,181.1236697247706,40.43862385321101,4.054054054054054,"","",-12.579973933595637,-48.85833855493555
franco da rocha,109,92.86422018348624,16.248899082568805,4.155963302752293,São Paulo,2,-23.316172347791152,-46.72582117346966
ribeirao pires,109,94.85635514018692,15.242990654205608,4.146788990825688,São Paulo,6,-23.7041588584869,-46.40744088300768
nilopolis,107,128.20728971962617,22.425233644859812,3.878504672897196,Rio de Janeiro,2,-22.809790478260414,-43.41822273123849
sao leopoldo,105,106.3910576923077,20.774134615384618,4.123809523809523,Rio Grande do Sul,2,-29.76480641007164,-51.139326336441606
chapeco,103,148.7597087378641,23.57766990291262,3.9029126213592233,São Paulo,1,-27.09668226891065,-52.62097613371527
chapeco,103,148.7597087378641,23.57766990291262,3.9029126213592233,Santa Catarina,2,-27.09668226891065,-52.62097613371527
caieiras,102,136.24519999999995,15.796,4.049019607843137,São Paulo,1,-23.365135261940797,-46.73566482431409
pindamonhangaba,101,129.40752475247524,17.52653465346535,4.405940594059406,"","",-22.929384305325527,-45.44263294610262
ribeirao das neves,101,128.02464646464645,22.35525252525253,4.099009900990099,Minas Gerais,2,-19.78076423605794,-44.06121321867438
botucatu,101,170.09405940594056,18.55029702970297,4.138613861386139,São Paulo,4,-22.882112535459964,-48.44701223244297
cajamar,101,99.73000000000002,17.423737373737374,4.0,São Paulo,2,-23.369586747930345,-46.84232153418722
francisco morato,100,95.56438775510206,14.448979591836732,4.22,São Paulo,1,-23.280906795824254,-46.74128376881102
patos de minas,100,167.91969999999995,25.5501,4.00990099009901,Minas Gerais,2,-18.588562538569025,-46.51218847404725
santa luzia,100,123.41285714285713,23.01265306122449,3.9,"","",-18.66529561514345,-43.63156931482295
balneario camboriu,100,169.58379999999997,24.5052,4.2,Santa Catarina,3,-26.9901242471923,-48.633114373691896
itapecerica da serra,98,89.17122448979592,15.37826530612245,3.9693877551020407,São Paulo,4,-23.718320952615514,-46.83834116251064
nova lima,98,213.89846938775506,23.732551020408163,4.0,Minas Gerais,1,-20.007035015080355,-43.90569776372665
guaratingueta,98,153.6575,19.188333333333336,4.18,São Paulo,1,-22.7999944837546,-45.19355251131392
itatiba,97,124.21969072164948,16.337113402061853,4.154639175257732,São Paulo,4,-23.010064480685877,-46.836993895792645
palhoca,95,121.70340425531917,22.448191489361704,3.8105263157894735,São Paulo,1,-27.66074713935533,-48.66757051412945
palhoca,95,121.70340425531917,22.448191489361704,3.8105263157894735,Santa Catarina,7,-27.66074713935533,-48.66757051412945
vinhedo,95,97.37095744680852,16.65914893617021,4.105263157894737,"","",-23.038252646431907,-46.9800258542323
salto,95,113.92968085106385,15.712021276595744,4.2,São Paulo,9,-23.196762532604946,-47.29260635951403
araras,94,141.78053191489363,19.785957446808514,4.361702127659575,São Paulo,3,-22.357745988322254,-47.37554553542299
itajuba,94,150.1659574468085,25.42127659574468,4.25531914893617,"","",-22.42754484908587,-45.45660671471727
olinda,93,141.39548387096772,26.884516129032257,4.0,"","",-7.990892083321361,-34.857306360459255
criciuma,93,167.63130434782605,25.979891304347827,3.89247311827957,Santa Catarina,4,-28.684533006297166,-49.37750467500366
mogi-guacu,93,136.85516483516483,16.686923076923076,4.225806451612903,"","",-22.35612015503117,-46.94205920344709
vitoria da conquista,92,183.30222222222224,33.91922222222222,3.946236559139785,"","",-14.859600725378753,-40.841904237073955
vicosa,91,181.03351648351642,25.47582417582418,4.0,Minas Gerais,2,-20.20227749481139,-42.57234147724048
jaragua do sul,89,145.6916853932584,26.848202247191015,4.044943820224719,Santa Catarina,9,-26.48392090658461,-49.09346022232564
varginha,89,159.80898876404493,23.639101123595506,4.344444444444444,Minas Gerais,4,-21.56132709360479,-45.436518686602305
caraguatatuba,89,153.82795454545453,22.300340909090913,3.966666666666667,"","",-23.637327711077546,-45.41383022299347
ananindeua,88,205.40045454545452,35.92738636363636,3.933333333333333,"","",-1.3664682374065154,-48.40141600314842
foz do iguacu,87,133.1767816091954,26.624022988505747,4.057471264367816,Paraná,5,-25.520882398937516,-54.56464238659438
votorantim,85,128.2496470588235,15.810941176470589,4.294117647058823,São Paulo,4,-23.54726588012212,-47.45058667876495
lages,85,135.00130952380954,28.02630952380953,4.329411764705882,Santa Catarina,2,-27.787575571361135,-50.30974813933529
poa,85,109.92294117647057,17.180588235294117,4.080459770114943,São Paulo,1,-23.526764005818002,-46.34701941573557
angra dos reis,85,222.2710588235294,32.4904705882353,3.8488372093023258,Rio de Janeiro,1,-22.99505330727889,-44.35328502084302
jandira,85,98.33892857142858,16.64095238095238,4.136363636363637,"","",-23.541060858353738,-46.90344430260754
conselheiro lafaiete,84,112.31392857142858,20.92869047619048,4.0,Minas Gerais,3,-20.65807672905485,-43.78017241246162
assis,84,145.22892857142855,19.28666666666666,4.529411764705882,São Paulo,8,-22.658497062224928,-50.41828219858366
lavras,83,160.21385542168676,24.219397590361446,3.880952380952381,"","",-21.244711413159234,-44.99919552691308
lorena,83,95.96409638554218,18.151686746987952,4.433734939759036,São Paulo,2,-22.73720012673803,-45.11555313440955
sao joao da boa vista,82,145.51617283950617,22.486049382716054,4.280487804878049,São Paulo,1,-21.978274580436416,-46.79050499411805
itanhaem,80,132.99037974683543,23.18835443037975,4.15,"","",-24.183167351085636,-46.80208758078426
ourinhos,80,162.89649350649347,23.035714285714292,4.125,São Paulo,1,-22.97892238436809,-49.8735547794906
barbacena,80,153.70762499999998,25.313625000000002,4.222222222222222,Minas Gerais,1,-21.219352072707792,-43.77145736524311
varzea paulista,80,138.20743589743586,24.093589743589742,3.654320987654321,São Paulo,1,-23.214140993260514,-46.83343176734841
itabira,79,133.47455696202533,27.814810126582277,3.8354430379746836,Minas Gerais,1,-19.63421624466147,-43.2235965122619
